Art,Name,Status,Website,robots,Crawl-Delay,Sitemap,Veranstaltungsseiten,Beispiel-URL,JSON-LD,Hinweis,lat,lng
Musée,Ausgriewermusee,NICHTS GEFUNDEN,https://gka.lu/,erlaubt,,,0,,,,49.673876,6.007906
Musée,Casemates du Bock,NICHTS GEFUNDEN,https://www.luxembourg-city.com/en/tours-activities/underground/bock-casemates,erlaubt,,https://www.luxembourg-city.com/sitemap.xml,0,,,,49.611663,6.136689
Musée,Casino Luxembourg - Forum d'art contemporain,KANDIDAT,http://www.casino-luxembourg.lu/,erlaubt,,http://www.casino-luxembourg.lu/sitemap.xml,4845,https://casino-luxembourg.lu/fr/agenda,nein,,49.609782,6.127167
Musée,Centre de découverte de la Forêt Burfelt,NICHTS GEFUNDEN,https://environnement.public.lu/fr/natur-erliewen/centres-d_accueil/burfelt.html,erlaubt,,,0,,,,49.900169,5.857089
Musée,Château de Vianden,KANDIDAT,https://castle-vianden.lu/,erlaubt,,,1,https://castle-vianden.lu/events/,ja,"keine Sitemap, Pfad geraten",49.935214,6.202589
Musée,Conservatoire National de Véhicules Historiques Diekirch,KANDIDAT,https://www.cnvh.lu/,erlaubt,,https://cnvh.lu/sitemap.xml,113,https://cnvh.lu/das-studentenprogramm/,nein,,49.868044,6.158553
Musée,Déi al Millen,KANDIDAT,https://dmillen.lu/,erlaubt,,https://dmillen.lu/sitemap.xml,105,https://dmillen.lu/visites-guides,nein,,49.726720,5.896174
Musée,Epicerie Binck,KANDIDAT,https://minettpark.lu/activites/epicerie-victor-binck/,erlaubt,10.0,https://minettpark.lu/sitemap.xml,8,https://minettpark.lu/activities/,nein,,49.533950,5.863351
Musée,Europa Experience Luxembourg,NICHTS GEFUNDEN,https://visiting.europarl.europa.eu/en/visitor-offer/other-locations/europa-experience/luxembourg,erlaubt,,,0,,,,49.621385,6.149082
Musée,Galleria 610,KANDIDAT,https://galleria610.lu/en,erlaubt,,https://galleria610.lu/sitemap.xml,2,https://galleria610.lu/en/agenda,nein,,49.540072,6.024244
Musée,General Patton Memorial,KANDIDAT,https://www.patton.lu/,erlaubt,,https://www.patton.lu/sitemap.xml,23,https://patton.lu/en/agenda/,nein,,49.848680,6.104132
Musée,Geo-Expo,KANDIDAT,https://www.naturpark-mellerdall.lu,erlaubt,60.0,https://www.naturpark-mellerdall.lu/sitemap.xml,64,https://www.naturpark-mellerdall.lu/veranstaltungen/,ja,,49.834252,6.292453
Musée,Grouwen a Feldbunn,KANDIDAT,https://rail.lu/feldbunnbanz.html,erlaubt,,,1,https://rail.lu/events/,nein,"keine Sitemap, Pfad geraten",49.475120,5.975628
Musée,Hall Paul Wurth,KANDIDAT,http://www.fond-de-gras.lu/,erlaubt,,,1,http://www.fond-de-gras.lu/,nein,"keine Sitemap, Pfad geraten",49.534965,5.861170
Musée,Kulturhuef,NICHTS GEFUNDEN,https://www.kulturhuef.lu/de/,erlaubt,,,0,,,,49.683280,6.448978
Musée,Luxembourg Science Center,NICHTS GEFUNDEN,https://www.science-center.lu/,erlaubt,,https://www.science-center.lu/sitemap.xml,0,,,,49.522098,5.894384
Musée,Lëtzebuerg City Museum,KANDIDAT,https://citymuseum.lu,erlaubt,,,1,https://citymuseum.lu/visiter-le-musee/agenda/,nein,"keine Sitemap, Pfad geraten",49.609991,6.133601
Musée,MUDAM,KANDIDAT,https://www.mudam.lu/,erlaubt,,https://www.mudam.com/sitemaps-2-sitemap.xml,1485,https://www.mudam.com/whats-on/events/28-jul-2026,nein,,49.616789,6.140164
Musée,Maison Victor Hugo,GESPERRT,https://victor-hugo.lu/,verbietet,,,,,,robots.txt untersagt das Crawlen,49.933932,6.207755
Musée,Massenoire,NICHTS GEFUNDEN,https://www.fonds-belval.lu/,erlaubt,,,0,,,,49.500662,5.948230
Musée,Matchbox Autos Museum,NICHTS GEFUNDEN,https://www.mullerthal.lu/de/fiche/museum/matchbox-autos-museum,erlaubt,,,0,,,,49.783414,6.515373
Musée,Mine Grouwen,KANDIDAT,https://www.differdange.lu/,erlaubt,,https://www.differdange.lu/sitemap.xml,2017,https://differdange.lu/agenda/,nein,,49.517438,5.878684
Musée,Musee de Police,KANDIDAT,https://www.gendarmerie.lu/,erlaubt,,,1,https://www.gendarmerie.lu,nein,"keine Sitemap, Pfad geraten",49.645059,5.987425
Musée,Musee de la Banque,KANDIDAT,https://www.bcee.lu/,erlaubt,,https://www.spuerkeess.lu/fr/particuliers?sitemap=pages&type=1533906435,12,https://www.spuerkeess.lu/fr/tweenz/activites/,nein,,49.607289,6.128535
Musée,Museum Moulin d'Asselborn,NICHTS GEFUNDEN,https://hotelvieuxmoulin.lu/,erlaubt,,,0,,,,50.087991,5.964020
Musée,Museum of the Battle of the Bulge,KANDIDAT,https://www.wiltz.lu/de/tourismus/kultur-kunst/museen-2,erlaubt,,,1,https://www.wiltz.lu/fr/agenda,nein,"keine Sitemap, Pfad geraten",49.966270,5.938316
Musée,Musée 385th bomb group,NICHTS GEFUNDEN,https://www.385bg.lu/,erlaubt,,https://www.385bg.lu/de_de-sitemap.xml,0,,,,49.809920,5.763827
Musée,Musée Dräi Eechelen,NICHTS GEFUNDEN,https://m3e.public.lu/fr.html,erlaubt,,,0,,,,49.616395,6.139297
Musée,Musée Koffergrouf Stolzembourg,KANDIDAT,https://www.stolzembourg.lu/kupfermine/,erlaubt,,https://www.stolzembourg.lu/sitemap.xml,23,https://www.stolzembourg.lu/aktuelles/,nein,,49.964287,6.167867
Musée,Musée Michel Lucius,KANDIDAT,https://www.museemichellucius.lu/,erlaubt,,,1,https://www.museemichellucius.lu/agenda/,nein,"keine Sitemap, Pfad geraten",49.796372,5.953173
Musée,Musée National de la Résistance,KANDIDAT,https://mnr.lu/,erlaubt,,,1,https://mnr.lu/manifestations,nein,"keine Sitemap, Pfad geraten",49.492369,5.975892
Musée,Musée Rural A Schiewesch,KANDIDAT,https://www.museebinsfeld.lu,erlaubt,,https://www.museebinsfeld.lu/sitemap.xml,3,https://www.museebinsfeld.lu/actualites/,nein,,50.117408,6.036639
Musée,Musée Rural et Artisanal,NICHTS GEFUNDEN,https://www.musee-rural.lu/,erlaubt,10.0,https://www.musee-rural.lu/sitemap.xml,0,,,,49.523653,6.129926
Musée,Musée Tudor sur l'électricité et les accumulateurs,NICHTS GEFUNDEN,https://www.musee-tudor.lu/,erlaubt,,https://musee-tudor.lu/wp-sitemap.xml,0,,,,49.803886,6.498417
Musée,Musée d'Histoire de la Brasserie Diekirch,KANDIDAT,http://www.luxem.beer/,erlaubt,,,1,https://www.luxem.beer/login,nein,"keine Sitemap, Pfad geraten",49.868202,6.158440
Musée,Musée d'Histoire(s) de la ville de Diekirch,KANDIDAT,http://www.mhsd.lu/,erlaubt,,https://www.mhsd.lu/sitemap_index.xml,223,https://www.mhsd.lu/exposition/arcbrell-3/,nein,,49.868932,6.161546
Musée,Musée de l'Abbaye,NICHTS GEFUNDEN,http://museedelabbaye.lu/,erlaubt,,https://abteimuseum.org/sitemap.xml,0,,,,49.813593,6.421838
Musée,Musée de l'Ardoise,KANDIDAT,https://www.ardoise.lu,erlaubt,,https://www.ardoise.lu/sitemap.xml,135,https://www.ardoise.lu/veranstaltungen,nein,,49.824758,5.753803
Musée,Musée de la Bataille des Ardennes,NICHTS GEFUNDEN,https://clervaux.lu,erlaubt,,,0,,,,50.054338,6.029841
Musée,Musée de la Ville de Vianden et du Jouet,KANDIDAT,https://www.visit-vianden.lu/de/kultur-freizeit/museen-kultur,erlaubt,,https://www.visit-vianden.lu/sitemap_index.xml,187,https://www.visit-vianden.lu/agenda/,nein,,49.933587,6.202521
Musée,Musée européen Schengen,NICHTS GEFUNDEN,https://www.visitschengen.lu/the-museum/,erlaubt,,https://www.visitschengen.lu/wp-sitemap.xml,0,,,,49.470858,6.366284
Musée,Musée militaire de Diekirch,NICHTS GEFUNDEN,http://www.mnhm.lu,erlaubt,,,0,,,,49.870880,6.159784
Musée,Musée national d'histoire naturelle,NICHTS GEFUNDEN,https://www.mnhn.lu/,erlaubt,,,0,,,,49.609728,6.135614
Musée,Musée national d'histore et d'art Luxembourg,NICHTS GEFUNDEN,https://www.nationalmusee.lu/,erlaubt,,,0,,,,49.611683,6.133713
Musée,Musée national des Mines,KANDIDAT,http://www.mnm.lu/,erlaubt,,,1,https://mnm.lu/events/,ja,"keine Sitemap, Pfad geraten",49.460774,6.022864
Musée,National Brewery Museum,KANDIDAT,http://www.beiermusee.lu,erlaubt,,,1,http://www.biermuseum.lu/home/,nein,"keine Sitemap, Pfad geraten",49.966222,5.938118
Musée,PLOMM Kannermusée,KANDIDAT,https://www.plomm.lu/,erlaubt,,https://www.plomm.lu/wp-sitemap.xml,34,https://www.plomm.lu/agenda/,nein,,49.966737,5.924449
Musée,Park Sënnesräich,KANDIDAT,https://www.sennesraich.lu/,erlaubt,,https://www.sennesraich.lu/sitemap.xml,3,https://www.sennesraich.lu/actualites/,nein,,50.058528,5.939371
Musée,Pompjeesmusee,KANDIDAT,https://www.pompjeesmusee.lu/,erlaubt,,https://www.pompjeesmusee.lu/de_de-sitemap.xml,2,https://www.pompjeesmusee.lu/de/aktuelles,nein,,49.968017,5.927971
Musée,Pompjeesmusee Gemeng Miersch,KANDIDAT,https://www.pjm.lu/,erlaubt,,https://www.pjm.lu/wp-sitemap.xml,2,https://www.pjm.lu/aktuelles/,nein,,49.767797,6.115349
Musée,Ratskeller,KANDIDAT,https://cerclecite.lu/,erlaubt,,,1,https://cerclecite.lu/agenda,nein,"keine Sitemap, Pfad geraten",49.611264,6.130388
Musée,Robbesscheier,NICHTS GEFUNDEN,https://www.robbesscheier.lu/de,erlaubt,,,0,,,,50.032773,6.038178
Musée,Réimer Villa Echternach,NICHTS GEFUNDEN,https://www.mnaha.lu/de/romische-villa-echternach,erlaubt,,,0,,,,49.803976,6.411844
Musée,Schreibmuseum und ehemaliges Klassenzimmer,GESPERRT,http://relaispostal.lu/,verbietet,,,,,,robots.txt untersagt das Crawlen,50.094910,5.971042
Musée,Textil Musée Larochette,NICHTS GEFUNDEN,https://textilmuseelarochette.lu/en/,erlaubt,,,0,,,,49.784029,6.219402
Musée,The Family of Man,NICHTS GEFUNDEN,https://www.steichencollections-cna.lu/,erlaubt,,https://www.steichencollections-cna.lu/sitemap.xml,0,,,,50.054511,6.030041
Musée,Thillenvogtei,KANDIDAT,http://www.thillenvogtei.lu,erlaubt,,https://www.thillenvogtei.lu/sitemap.xml,2,https://www.thillenvogtei.lu/atelieren,nein,,49.849692,5.900054
Musée,Tuchfabrik,KANDIDAT,https://www.naturpark-sure.lu/,erlaubt,,https://www.naturpark-sure.lu/wp-sitemap.xml,171,https://www.naturpark-sure.lu/event/textil-cafe/,ja,,49.907163,5.930758
Musée,Villa Romana,GESPERRT,https://www.mnha.lu/,verbietet,,,,,,robots.txt untersagt das Crawlen,49.804471,6.411955
Musée,Villa Vauban,KANDIDAT,https://villavauban.lu/,erlaubt,,,1,https://villavauban.lu/visiter-le-musee/agenda/,nein,"keine Sitemap, Pfad geraten",49.613095,6.122545
Musée,Vitarium by Luxlait,KANDIDAT,https://www.vitarium.lu/,erlaubt,,,1,https://www.luxlait.lu/a-propos-de-nous/vitarium/,nein,"keine Sitemap, Pfad geraten",49.778959,6.082349
Kulturzentrum,www.rauschpuppe.com,GESPERRT,http://www.rauschpuppe.com,verbietet,,,,,,robots.txt untersagt das Crawlen,49.849963,6.101061
Kulturzentrum,Art et Création a.s.b.l.,GESPERRT,https://art-et-creation.lu/,verbietet,,,,,,robots.txt untersagt das Crawlen,49.521165,6.298346
Kulturzentrum,Artikuss,KANDIDAT,https://artikuss.lu/,erlaubt,,https://artikuss.lu/sitemap.xml,154,https://www.artikuss.lu/fr/agenda,nein,,49.518002,5.926860
Kulturzentrum,Atelier Cour d'Anges,GESPERRT,https://www.courdanges.be,verbietet,,,,,,robots.txt untersagt das Crawlen,49.845892,5.755206
Kulturzentrum,Bâtiment IV - Tiers lieu culturel,KANDIDAT,https://www.batiment-4.lu/,erlaubt,10.0,https://www.batiment-4.lu/sitemap.xml,39,https://batiment-4.lu/event-slider/,nein,,49.498691,5.990536
Kulturzentrum,Center culturel Machera,KANDIDAT,https://machera.lu/,erlaubt,,,1,https://machera.lu/agenda/,nein,"keine Sitemap, Pfad geraten",49.679934,6.446078
Kulturzentrum,"Centre Culturel ""A Maesch""",KANDIDAT,https://www.erpeldange.lu/,erlaubt,,,1,https://www.erpeldange.lu/actualites,nein,"keine Sitemap, Pfad geraten",49.881995,6.097171
Kulturzentrum,Centre WAX,KANDIDAT,http://www.konschtmillen.lu,erlaubt,,http://www.konschtmillen.lu/wp-sitemap.xml,3,http://www.konschtmillen.lu/atelier-2020/,nein,,49.560374,5.871207
Kulturzentrum,Centre de Création Chorégraphique Luxembourgeois Trois C-L Asbl,KANDIDAT,https://www.danse.lu/,erlaubt,,https://danse.lu/sitemap_index.xml,283,https://danse.lu/programme/,nein,,49.598243,6.135809
Kulturzentrum,Culture@Walfer,KANDIDAT,https://caw-walfer.lu/,erlaubt,,https://caw-walfer.lu/sitemap.xml,416,https://caw-walfer.lu/programme/,nein,,49.659309,6.130727
Kulturzentrum,Konschthal Esch,KANDIDAT,https://www.konschthal.lu/,erlaubt,,,1,https://www.konschthal.lu/agenda,nein,"keine Sitemap, Pfad geraten",49.491196,5.975612
Kulturzentrum,Kulturfabrik,KANDIDAT,https://kulturfabrik.lu/,erlaubt,,https://kulturfabrik.lu/sitemap.xml,855,https://kulturfabrik.lu/events,nein,,49.503788,5.988237
Kulturzentrum,Mierscher Kulturhaus,KANDIDAT,https://kulturhaus.lu,erlaubt,,,1,https://mierschertheater.lu/,nein,"keine Sitemap, Pfad geraten",49.748124,6.104604
Kulturzentrum,Rainbow Center,NICHTS GEFUNDEN,https://rainbowcenter.lu/,erlaubt,,,0,,,,49.609361,6.133442
Kulturzentrum,Reemerhof,NICHTS GEFUNDEN,https://rosportmompach.lu/rosport-centre-culturel-reemerhoof/,erlaubt,,,0,,,,49.804391,6.504165
Kulturzentrum,Rotondes,KANDIDAT,https://www.rotondes.lu/,erlaubt,,https://www.rotondes.lu/sitemap.xml,181,https://www.rotondes.lu/fr/agenda/be-kind,nein,,49.601404,6.136469
Kulturzentrum,Trifolion,KANDIDAT,https://trifolion.lu/,erlaubt,,,1,https://trifolion.lu/agenda/,nein,"keine Sitemap, Pfad geraten",49.813422,6.420353
Kulturzentrum,Valentiny Foundation,KANDIDAT,http://www.valentiny-foundation.com/,erlaubt,,https://www.valentiny-foundation.com/sitemap.xml,141,https://www.valentiny-foundation.com/events/septet-1,ja,,49.491327,6.351900
